TIME,AREA,SRC_NUCL,SRC_BCOAL,SRC_HCOAL,SRC_OIL,SRC_LNG,SRC_PUMP,SRC_FUELCELL,SRC_COALGAS,SRC_SOLAR,SRC_WIND,SRC_WATER,SRC_SEA,SRC_BIO,SRC_WASTE,SRC_RECYCLE_SUM,SRC_OTHER,SRC_ALL,RECYCLE_PERCENT
05-23,서울,0,0,0,0,802.346,0,66,0,46.57942,0,0.316,0,6.865,0,119.76042,27.95,950.05642,12.60561136
05-23,부산,4550,19,0,0,1845.836,0,41.68,0,184.04715,0.762,0.02,0,6.69,0,233.19915,33.9,6681.93515,3.489994212
05-23,대구,0,72.9,0,43.5,370.7,0,1.407,0,141.3324,0,3.56,0,4.5,0,150.7994,9.9,647.7994,23.27871869
05-23,인천,0,5080,0,36.23,8576.747,0,227.265,0,109.95119,49,12.599,0,78.23,0,477.04519,33.28,14203.30219,3.35869211
05-23,광주,0,0,0,0,115.246,0,21.035,0,250.566946,0,1.83,0,2.14,0,275.571946,4.36,395.177946,69.73363488
05-23,대전,0,0,0,0,48.3,0,7.165,0,45.037125,0,0,0,0.099,0,52.301125,88,188.601125,27.73107796
05-23,울산,2800,0,0,0,2514.7,0,35.978,0,84.520165,1.65,0.3,0,0,0,122.448165,21.9,5459.048165,2.243031409
05-23,경기,0,253.355,0,39.35,17611.857,400,256.49,0,1333.7263,5.271,276.109,254,59.703,0,2185.2993,58.155,20548.0163,10.63508646
05-23,강원,0,4274,400,0,1279.2,1000,34.296,0,1624.836921,522.548,520.095,0,371.265,0,3073.040921,13.39,10039.63092,30.60910252
05-23,충북,0,0,0,58.3,0,0,39.6,0,1203.644654,0,507.004,0,2.66,0,1752.908654,52.807,1876.015654,93.43784793
05-23,충남,0,18246.058,0,469.61,3713.45,0,63.92,346.33,2673.606291,2,32.297,0,382.8,0,3500.953291,9.39,25939.46129,13.49663068
05-23,전북,0,445.369,0,7.34,718.4,600,20.745,0,4053.995725,79.5,80.037,0,479.703,0,4713.980725,14.695,6499.784725,72.52518236
05-23,전남,5900,981.1,0,22.44,2378.9,0,50.08,0,5056.57269,425.475,37.098,1.08,2.869,0,5573.17469,23.17,14878.91359,37.45686576
05-23,경북,11400,156.1,0,18.5,361.6,1400,3.478,0,3022.148343,467.36,179.955,0,3.5,0,3676.441343,38.935,17051.57634,21.56071245
05-23,경남,0,8200,0,27.19,0,1300,4.515,0,1504.454775,86.186,145.469,0,15.355,0,1755.979775,4.283,11287.45278,15.55691802
05-23,제주,0,0,0,193.135,333.734,0,0,0,551.008195,291.69,0.8164,0.5,396.85,0,1240.864595,19.2,1787.433395,69.42158508
05-23,세종,0,0,0,0,530.441,0,5.28,0,67.178055,0,2.31,0,5,0,79.768055,3.25,613.459055,13.00299577
05-23,소계,24650,37727.882,400,915.595,41201.457,4700,878.934,346.33,21953.20635,1931.442,1799.8154,255.58,1818.229,0,28983.53675,456.565,139047.6644,20.84431757
04-23,서울,0,0,0,0,802.346,0,66,0,46.57942,0,0.316,0,6.865,0,119.76042,27.95,950.05642,12.60561136
04-23,부산,4550,19,0,0,1845.836,0,41.68,0,184.04715,0.762,0.02,0,6.69,0,233.19915,33.9,6681.93515,3.489994212
04-23,대구,0,72.9,0,43.5,370.7,0,1.407,0,141.3324,0,3.56,0,4.5,0,150.7994,9.9,647.7994,23.27871869
04-23,인천,0,5080,0,36.23,8576.747,0,227.265,0,109.95119,49,12.599,0,78.23,0,477.04519,33.28,14203.30219,3.35869211
04-23,광주,0,0,0,0,115.246,0,21.035,0,250.566946,0,1.83,0,2.14,0,275.571946,4.36,395.177946,69.73363488
04-23,대전,0,0,0,0,48.3,0,7.165,0,45.037125,0,0,0,0.099,0,52.301125,88,188.601125,27.73107796
04-23,울산,2800,0,0,0,2514.7,0,35.978,0,84.520165,1.65,0.3,0,0,0,122.448165,21.9,5459.048165,2.243031409
04-23,경기,0,253.355,0,39.35,17611.857,400,256.49,0,1333.7263,5.271,276.109,254,59.703,0,2185.2993,58.155,20548.0163,10.63508646
04-23,강원,0,4274,400,0,1279.2,1000,34.296,0,1624.836921,522.548,520.095,0,371.265,0,3073.040921,13.39,10039.63092,30.60910252
04-23,충북,0,0,0,58.3,0,0,39.6,0,1203.644654,0,507.004,0,2.66,0,1752.908654,52.807,1876.015654,93.43784793
